PERIOD_START_TIME;Source PLMN name;Source MRBTS name;Source LNBTS name;Source LNCEL name;mcc_id;mnc_id;eci_id;Intra eNB neighbor HO: Prep SR;Intra eNB neighbor HO: SR;Intra eNB neighbor HO: Att;Intra eNB neighbor HO: Cancel R;Inter eNB neighbor HO: Prep SR;Inter eNB neighbor HO: SR;Inter eNB neighbor HO: Att;Inter eNB neighbor HO: FR;Load Balancing HO, per neighbor: SR;Load Balancing HO, per neighbor: Att;Late/Early HO ratio, per neighbor: Late HO;Late/Early HO ratio, per neighbor: Early HO, type 1;Late/Early HO ratio, per neighbor: Early HO, type 2
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103882313;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102699837;;;0;;100;97.09;103;0;;0;0;0;0.06
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104442943;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;107544894;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103844415;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;107547197;;;0;;100;100;5;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102717522;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103098686;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394121;100;100;17;0;;;0;;;0;0.32;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102809171;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103835454;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;105708369;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104175423;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102699847;;;0;;100;100;16;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394129;100;99.77;2193;0.14;;;0;;;0;0.03;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;105673023;;;0;;100;100;3;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104480319;;;0;;100;0;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102699857;;;0;;100;90.91;11;0;;0;0.08;0;0.08
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700360;;;0;;100;100;493;0;;0;0.02;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700370;;;0;;100;100;646;0;;0;0.02;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104883774;;;0;;100;100;2;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102809159;;;0;;100;100;8;0;;0;0;0;0.12
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102809169;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700359;;;0;;100;100;383;0;;0;0.05;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103882302;;;0;;100;97.03;101;0;;0;0.01;0;0.06
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;105673043;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103832638;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103033672;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104175421;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769213;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;107547207;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769215;;;0;;100;100;71;0;;0;0;0;0.01
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103106366;;;0;;100;100;39;0;;0;0;0;0.05
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103449917;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;108119615;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103157310;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102777917;;;0;;100;0;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103166782;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103069759;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;108356927;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;107875646;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103882322;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103882301;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;107972415;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;107875666;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;105080895;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700369;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103832639;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700349;;;0;;100;97.78;45;0;;0;0.02;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102699838;;;0;;100;95.45;22;4.55;;0;0;0;0.09
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103882303;;;0;;100;99.58;479;0;;0;0.01;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769223;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394119;100;99.6;252;0;;;0;;;0;0.06;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103043410;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103106386;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769214;;;0;;100;98.26;402;0.25;;0;0.01;0.01;0.03
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104442941;;;0;;100;100;2;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103098687;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700351;;;0;;100;99.86;8803;0.01;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102951997;;;0;;100;0;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394110;100;95.47;838;0;;;0;;;0;0.04;0.03;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104652115;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700350;;;0;;100;99.89;6219;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700371;;;0;;100;100;499;0;;0;0.03;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103106365;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103106377;;;0;;100;100;4;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102717502;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103043390;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104465982;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103157320;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769225;;;0;;100;100;22;0;;0;0.08;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103559743;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103157311;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103353407;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104614462;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104614463;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102951999;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769234;;;0;;100;99.24;131;0.76;;0;0.08;0;0.02
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394111;100;99.8;2477;0.04;;;0;;;0;0.01;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104442952;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;105144637;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104979262;;;0;;100;83.33;6;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103098685;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103921725;;;0;;100;100;1;0;;0;0.5;0;0.5
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103882323;;;0;;88.89;87.5;8;0;;0;0.33;0;0.17
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700114;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769224;;;0;;100;100;58;0;;0;0.02;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102717501;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394131;100;100;8;0;;;0;;;0;0.2;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103719487;;;0;;100;100;3;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103106387;;;0;;100;100;8;0;;0;0;0;0.12
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394130;100;100;46;0;;;0;;;0;0.21;0;0.03
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104175443;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102809149;;;0;;100;100;90;0;;0;0.01;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103882312;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104442962;;;0;;100;0;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103106367;;;0;;100;99.35;153;0;;0;0.01;0.01;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103394120;100;100;15;0;;;0;;;0;0.06;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103107903;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102809151;;;0;;100;100;4;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;105735999;;;0;;100;100;2;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102777919;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103107923;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102700361;;;0;;;;0;;;0;1;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;102769233;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;103106376;;;0;;100;100;4;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;105144638;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-61;208;15;104883794;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;104742737;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102809159;;;0;;100;100;2;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102698568;;;0;;100;100;13;0;;0;0.07;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102698559;;;0;;100;93.55;31;0;;0;0;0.03;0.03
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102700360;;;0;;100;100;79;0;;0;0.02;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102777938;;;0;;100;96;25;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;104742727;;;0;;100;100;2;0;;0;0.33;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;104923455;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102700093;;;0;;100;98.46;65;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102769225;;;0;;100;100;67;0;;0;0.01;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;104834877;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102699857;;;0;;100;99.02;612;0;;0;0.01;0;0.02
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102777927;;;0;;100;100;364;0;;0;0.01;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102777918;;;0;;100;100;976;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;105144657;;;0;;;;0;;;0;1;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102699848;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;104653639;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102700113;;;0;;100;100;1;0;;0;0;0;1
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102717503;;;0;;100;100;1;0;;0;0;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;103719507;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;103394121;100;96;25;0;;;0;;;0;0.19;0;0
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;103719486;;;0;;;;0;;;0;;;
05.05.2021;PLMN-PLMN;LTE-403883;LTE-93048-007;93048_007-62;208;15;102700369;;;0;;;;0;;;0;;;
