;Source LNCEL name
0;60095_001-73
1;60095_001-83
2;60412_001-62
3;60412_001-72
4;60412_001-73
5;60412_001-82
6;60412_001-83
7;93001_002-61
8;93001_002-62
9;93001_002-63
10;93001_002-71
11;93001_002-72
12;93001_002-73
13;93001_002-81
14;93001_002-82
15;93001_002-83
16;93001_003-61
17;93001_003-62
18;93001_003-63
19;93001_003-71
20;93001_003-72
21;93001_003-73
22;93001_003-81
23;93001_003-82
24;93001_003-83
25;93001_004-61
26;93001_004-62
27;93001_004-63
28;93001_004-71
29;93001_004-72
30;93001_004-73
31;93001_004-81
32;93001_004-82
33;93001_004-83
34;93001_006-61
35;93001_006-62
36;93001_006-63
37;93001_006-71
38;93001_006-72
39;93001_006-73
40;93001_006-81
41;93001_006-82
42;93001_006-83
43;93001_007-61
44;93001_007-62
45;93001_007-63
46;93001_007-71
47;93001_007-72
48;93001_007-73
49;93001_007-81
50;93001_007-82
51;93001_007-83
52;93001_012-81
53;93001_013-81
54;93001_015-61
55;93001_015-62
56;93001_015-63
57;93001_015-71
58;93001_015-72
59;93001_015-73
60;93001_015-81
61;93001_015-82
62;93001_015-83
63;93001_020-61
64;93001_020-62
65;93001_020-63
66;93001_020-71
67;93001_020-72
68;93001_020-73
69;93001_020-81
70;93001_020-82
71;93001_020-83
72;93005_001-61
73;93005_001-62
74;93005_001-63
75;93005_001-71
76;93005_001-72
77;93005_001-73
78;93005_001-81
79;93005_001-82
80;93005_001-83
81;93005_002-61
82;93005_002-62
83;93005_002-63
84;93005_002-71
85;93005_002-72
86;93005_002-73
87;93005_002-81
88;93005_002-82
89;93005_002-83
90;93005_004-61
91;93005_004-62
92;93005_004-63
93;93005_004-71
94;93005_004-72
95;93005_004-73
96;93005_004-81
97;93005_004-82
98;93005_004-83
99;93005_006-61
100;93005_006-62
101;93005_006-63
102;93005_006-71
103;93005_006-72
104;93005_006-73
105;93005_006-81
106;93005_006-82
107;93005_006-83
108;93005_007-61
109;93005_007-62
110;93005_007-63
111;93005_007-71
112;93005_007-72
113;93005_007-73
114;93005_007-81
115;93005_007-82
116;93005_007-83
117;93005_008-61
118;93005_008-62
119;93005_008-63
120;93005_008-71
121;93005_008-72
122;93005_008-73
123;93005_008-81
124;93005_008-82
125;93005_008-83
126;93005_009-61
127;93005_009-62
128;93005_009-63
129;93005_009-71
130;93005_009-72
131;93005_009-73
132;93005_009-81
133;93005_009-82
134;93005_009-83
135;93005_010-62
136;93005_010-63
137;93005_010-72
138;93005_010-73
139;93005_010-82
140;93005_010-83
141;93005_011-61
142;93005_011-62
143;93005_011-63
144;93005_011-71
145;93005_011-72
146;93005_011-73
147;93005_011-81
148;93005_011-82
149;93005_011-83
150;93005_012-61
151;93005_012-62
152;93005_012-63
153;93005_012-71
154;93005_012-72
155;93005_012-73
156;93005_012-81
157;93005_012-82
158;93005_012-83
159;93005_015-61
160;93005_015-62
161;93005_015-63
162;93005_015-71
163;93005_015-72
164;93005_015-73
165;93005_015-81
166;93005_015-82
167;93005_015-83
168;93005_016-61
169;93005_016-62
170;93005_016-63
171;93005_016-71
172;93005_016-72
173;93005_016-73
174;93005_016-81
175;93005_016-82
176;93005_016-83
177;93005_018-61
178;93005_018-62
179;93005_018-63
180;93005_018-71
181;93005_018-72
182;93005_018-73
183;93005_018-81
184;93005_018-82
185;93005_018-83
186;93005_021-61
