Source LNCEL name;Target name;Total eNB neighbor HO: Att
60095_001-73;27426_001-72;4642
60095_001-83;27426_001-82;638
60412_001-62;95379_002-61;690
60412_001-62;95554_001-61;3370
60412_001-72;60293_001-72;2265
60412_001-72;95379_002-71;4857
60412_001-72;95554_001-71;12805
60412_001-73;60293_001-73;2232
60412_001-82;60293_001-82;8293
60412_001-82;95379_002-81;6147
60412_001-82;95554_001-81;12633
60412_001-83;60293_001-83;1175
93001_002-61;93001_004-63;27709
93001_002-61;93001_006-61;14306
93001_002-61;93001_006-62;19229
93001_002-61;93001_015-61;2423
93001_002-61;93001_020-61;6920
93001_002-61;93001_020-62;623
93001_002-61;93027_002-61;1469
93001_002-61;93027_002-62;1039
93001_002-61;93027_002-63;634
93001_002-61;93027_003-61;5032
93001_002-61;93027_003-63;7651
93001_002-61;93027_006-62;57357
93001_002-61;93027_006-63;231507
93001_002-61;93027_006-73;3758
93001_002-61;93027_006-82;417
93001_002-61;93027_009-62;1208
93001_002-61;93055_006-63;319
93001_002-61;93066_003-61;465
93001_002-61;93066_006-61;40526
93001_002-61;93066_006-62;11377
93001_002-61;93066_006-63;23025
93001_002-61;93066_027-62;3164
93001_002-61;93066_027-63;1185
93001_002-61;93066_035-61;704
93001_002-61;93066_035-62;26698
93001_002-62;93001_003-61;1664
93001_002-62;93001_003-63;269
93001_002-62;93001_004-61;38309
93001_002-62;93001_004-63;15697
93001_002-62;93001_015-61;32082
93001_002-62;93001_015-71;2648
93001_002-62;93001_015-81;1789
93001_002-62;93001_015-83;322
93001_002-62;93001_020-61;1109
93001_002-62;93001_020-62;20828
93001_002-62;93001_020-63;58683
93001_002-62;93001_020-83;1313
93001_002-62;93027_006-62;63871
93001_002-62;93055_006-63;6368
93001_002-62;93066_005-62;2574
93001_002-62;93066_035-62;5991
93001_002-62;93066_035-82;6235
93001_002-63;75119_020-61;207
93001_002-63;93001_004-61;8934
93001_002-63;93001_004-63;186754
93001_002-63;93001_004-73;1654
93001_002-63;93001_004-83;3887
93001_002-63;93001_006-61;4904
93001_002-63;93001_006-62;49707
93001_002-63;93001_006-63;47696
93001_002-63;93001_006-83;877
93001_002-63;93066_005-61;956
93001_002-63;93066_005-62;7997
93001_002-63;93066_011-61;18740
93001_002-63;93066_021-62;2582
93001_002-71;93001_006-71;2249
93001_002-71;93001_006-72;3536
93001_002-71;93001_015-71;3405
93001_002-71;93001_020-71;3982
93001_002-71;93027_006-72;10322
93001_002-71;93027_006-73;37289
93001_002-71;93066_006-72;967
93001_002-72;75118_006-71;420
93001_002-72;75119_004-71;486
93001_002-72;93001_003-73;2290
93001_002-72;93001_004-71;17735
93001_002-72;93001_004-73;10593
93001_002-72;93001_015-71;29008
93001_002-72;93001_015-72;221
93001_002-72;93001_015-73;8267
93001_002-72;93001_020-71;7233
93001_002-72;93001_020-72;5408
93001_002-72;93001_020-73;19557
93001_002-72;93027_006-72;14746
93001_002-72;93055_006-73;2862
93001_002-73;75118_073-71;425
93001_002-73;93001_004-71;2991
93001_002-73;93001_004-73;38733
93001_002-73;93001_004-83;4487
93001_002-73;93001_006-72;5644
93001_002-73;93001_006-73;17482
93001_002-73;93066_005-72;11632
93001_002-73;93066_011-71;6325
93001_002-73;93066_011-72;1388
93001_002-81;93001_004-83;6905
93001_002-81;93001_006-81;11614
93001_002-81;93001_006-82;8432
93001_002-81;93001_015-81;218
93001_002-81;93001_020-81;4565
93001_002-81;93027_002-81;5514
93001_002-81;93027_003-81;1080
93001_002-81;93027_003-82;6839
93001_002-81;93027_003-83;1455
93001_002-81;93027_004-82;1296
93001_002-81;93027_004-83;261
93001_002-81;93027_006-73;3519
93001_002-81;93027_006-82;22198
93001_002-81;93027_006-83;66133
93001_002-81;93027_013-81;5473
93001_002-81;93066_006-81;15795
93001_002-81;93066_006-82;4395
93001_002-81;93066_006-83;5752
93001_002-81;93066_035-81;6722
93001_002-81;93066_035-82;11827
93001_002-82;93001_003-81;542
93001_002-82;93001_004-81;28263
93001_002-82;93001_004-83;19787
93001_002-82;93001_015-81;43974
93001_002-82;93001_015-83;5255
93001_002-82;93001_020-81;3718
93001_002-82;93001_020-82;24631
93001_002-82;93001_020-83;22476
93001_002-82;93027_006-82;21483
93001_002-82;93055_003-83;686
93001_002-82;93055_006-82;211
93001_002-82;93055_006-83;23523
93001_002-82;93066_035-82;17672
93001_002-82;93070_006-82;3536
93001_002-83;75118_073-81;10220
93001_002-83;93001_004-81;2598
93001_002-83;93001_004-82;5587
93001_002-83;93001_004-83;48847
93001_002-83;93001_006-82;9113
93001_002-83;93001_006-83;28046
93001_002-83;93066_005-82;8597
93001_002-83;93066_011-81;4816
93001_002-83;93066_011-82;3290
93001_002-83;93070_006-82;718
93001_003-61;75119_004-61;2250
93001_003-61;75119_004-62;6348
93001_003-61;93001_002-62;1469
93001_003-61;93001_007-61;749
93001_003-61;93001_015-61;16059
93001_003-61;93001_015-62;6136
93001_003-61;93001_015-81;2861
93001_003-61;93001_020-62;467
93001_003-61;93008_001-63;715
93001_003-61;93027_002-61;2416
93001_003-61;93027_002-62;859
93001_003-61;93027_009-62;480
93001_003-61;93055_003-63;9507
93001_003-61;93055_006-62;40196
93001_003-61;93055_006-63;56802
93001_003-61;93055_006-82;3103
93001_003-61;93055_006-83;6148
93001_003-61;93055_013-63;1048
93001_003-62;93001_015-62;1591
93001_003-62;93055_003-63;4146
93001_003-62;93055_006-62;4692
93001_003-62;93055_006-63;413
93001_003-62;93055_011-61;2828
93001_003-62;93055_011-63;654
93001_003-62;93055_013-63;1071
93001_003-63;75119_004-61;8185
93001_003-63;75119_004-62;16801
93001_003-63;75119_004-71;3358
93001_003-63;75119_004-82;3193
93001_003-63;93001_002-62;219
93001_003-63;93001_004-61;3302
93001_003-63;93001_015-61;4840
93001_003-63;93001_015-62;24196
93001_003-63;93001_015-63;6091
93001_003-63;93001_015-72;7188
93001_003-63;93001_015-82;5960
